 age, marital_status, education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped
41,divorced,Bachelor Degree,Male,23,> 20 kms,Social Media,7,10/15/15,12/2/15,21,5,Lateral,Yes,17,Yes,Yes
35,married,Associate Certification,Male,10,<15 kms,Social Media,3,2/17/16,3/11/16,55,7,Vertical,Yes,11,No,No
30,married,Associate Certification,Male,30,<15 kms,Consultants,10,12/24/15,1/8/16,16,4,Lateral,Yes,6,No,Yes
36,single,Master Degree,Male,15,<15 kms,Job Portals,9,9/24/15,10/24/15,73,4,Vertical,No,12,Yes,No
38,married,Bachelor Degree,Male,22,15-20 kms,Social Media,9,12/20/15,1/7/16,25,4,Lateral,No,14,No,Yes
36,single,Bachelor Degree,Male,17,15-20 kms,Company Website,10,10/20/15,10/31/15,19,4,Lateral,Yes,12,Yes,Yes
37,divorced,Associate Certification,Male,16,15-20 kms,Internal Referrals,3,4/12/15,4/28/15,23,7,Lateral,No,13,Yes,Yes
30,married,Associate Certification,Male,15,<15 kms,Social Media,8,8/25/15,9/12/15,75,3,Lateral,No,6,No,No
38,divorced,Bachelor Degree,Male,23,> 20 kms,Consultants,3,4/5/15,5/25/15,28,4,Lateral,No,8,Yes,Yes
25,married,Associate Certification,Male,24,> 20 kms,Internal Referrals,8,10/8/15,10/19/15,28,1,Lateral,No,1,Yes,Yes
45,married,Associate Degree,Male,15,15-20 kms,Job Portals,9,3/8/15,4/4/15,59,3,Lateral,No,21,Yes,No
32,married,Associate Degree,Male,13,> 20 kms,Job Portals,7,8/17/15,8/29/15,55,7,Lateral,No,8,No,No
40,divorced,Associate Certification,Male,15,> 20 kms,Company Website,4,8/6/15,8/12/15,69,8,Vertical,No,16,Yes,No
38,married,Associate Certification,Male,24,15-20 kms,Consultants,8,10/16/15,11/14/15,47,3,Lateral,No,14,Yes,No
28,single,Associate Certification,Male,29,<15 kms,Job Portals,3,10/20/15,12/16/15,26,3,Lateral,No,4,No,Yes
44,married,Associate Certification,Male,25,<15 kms,Company Website,3,5/22/15,7/16/15,22,8,Lateral,Yes,20,Yes,Yes
41,single,Associate Degree,Male,27,<15 kms,Consultants,7,1/2/16,2/29/16,29,4,Lateral,Yes,11,No,Yes
31,married,Associate Degree,Male,27,> 20 kms,Company Website,3,9/17/15,10/4/15,17,5,Lateral,No,7,No,Yes
46,married,Associate Degree,Male,16,<15 kms,Consultants,8,12/24/15,1/9/16,38,4,Vertical,Yes,22,Yes,No
32,single,Associate Degree,Male,23,15-20 kms,Job Portals,9,12/20/15,12/29/15,24,7,Lateral,No,8,Yes,Yes
30,married,Associate Degree,Male,21,15-20 kms,Internal Referrals,3,4/2/16,5/23/16,23,5,Lateral,No,6,No,Yes
42,married,Master Degree,Male,25,15-20 kms,Job Portals,3,8/17/15,8/30/15,50,7,Lateral,Yes,18,Yes,No
35,married,Associate Degree,Male,29,<15 kms,Internal Referrals,3,7/16/15,9/5/15,17,7,Lateral,No,11,No,Yes
35,married,Associate Certification,Male,11,> 20 kms,Company Website,3,2/1/16,2/23/16,36,8,Lateral,No,11,Yes,No
34,married,Master Degree,Male,15,> 20 kms,Job Portals,5,11/29/15,12/11/15,64,7,Lateral,Yes,10,Yes,No
31,divorced,Associate Degree,Male,17,> 20 kms,Social Media,8,1/21/16,1/31/16,20,4,Lateral,Yes,7,No,Yes
29,married,Bachelor Degree,Male,15,> 20 kms,Company Website,3,3/30/16,4/24/16,61,3,Vertical,Yes,5,Yes,No
37,married,Bachelor Degree,Male,19,> 20 kms,Social Media,4,5/27/15,6/3/15,20,5,Lateral,Yes,13,Yes,Yes
42,single,Associate Degree,Male,15,> 20 kms,Social Media,4,6/19/15,6/20/15,94,7,Lateral,No,18,No,No
46,married,Associate Certification,Male,10,<15 kms,Job Portals,8,11/13/15,11/22/15,36,3,Lateral,Yes,22,Yes,No
46,married,Associate Certification,Male,14,> 20 kms,Social Media,5,10/19/15,11/25/15,63,8,Vertical,No,22,Yes,No
43,married,Associate Certification,Male,10,15-20 kms,Job Portals,3,9/24/15,10/6/15,27,4,Lateral,No,19,Yes,No
29,married,Associate Degree,Male,19,15-20 kms,Internal Referrals,10,9/13/15,9/17/15,15,3,Lateral,Yes,5,No,Yes
45,married,Associate Certification,Male,14,<15 kms,Job Portals,3,4/2/16,4/27/16,91,7,Vertical,No,21,Yes,No
41,single,Associate Certification,Male,10,<15 kms,Job Portals,4,12/20/15,1/4/16,25,7,Vertical,No,17,Yes,No
44,married,Master Degree,Male,15,15-20 kms,Job Portals,3,6/16/15,7/23/15,56,4,Lateral,No,20,Yes,No
42,married,Bachelor Degree,Male,24,15-20 kms,Internal Referrals,4,10/12/15,10/14/15,25,3,Lateral,No,7,Yes,Yes
29,single,Associate Certification,Male,20,<15 kms,Job Portals,4,4/18/15,5/1/15,28,4,Lateral,No,5,Yes,Yes
26,married,Associate Certification,Male,16,> 20 kms,Job Portals,4,3/14/15,4/3/15,26,2,Lateral,Yes,2,No,Yes
33,single,Master Degree,Male,16,> 20 kms,Social Media,10,10/16/15,10/17/15,28,7,Lateral,No,9,Yes,Yes
40,single,Associate Degree,Male,29,<15 kms,Company Website,3,3/23/16,5/17/16,24,6,Lateral,No,16,No,Yes
36,single,Associate Certification,Male,30,15-20 kms,Social Media,10,5/27/15,6/28/15,26,4,Lateral,No,12,Yes,Yes
41,married,Bachelor Degree,Male,13,<15 kms,Consultants,10,3/5/15,4/1/15,29,5,Vertical,No,17,Yes,No
36,single,Associate Degree,Male,11,<15 kms,Job Portals,8,5/16/16,5/17/16,77,8,Vertical,Yes,12,No,No
45,married,Associate Certification,Male,12,15-20 kms,Company Website,4,12/25/15,1/6/16,81,7,Vertical,No,21,No,No
34,married,Bachelor Degree,Male,14,15-20 kms,Job Portals,8,2/2/16,3/12/16,76,6,Lateral,No,10,Yes,No
25,married,Associate Degree,Male,10,> 20 kms,Social Media,8,5/18/16,6/10/16,20,1,Lateral,Yes,1,No,Yes
46,married,Associate Certification,Male,15,15-20 kms,Company Website,7,4/30/15,5/26/15,60,5,Lateral,Yes,22,No,No
32,married,Associate Certification,Male,14,<15 kms,Social Media,6,8/1/15,9/26/15,15,6,Lateral,Yes,8,No,Yes
39,single,Associate Degree,Male,14,> 20 kms,Job Portals,5,12/24/15,2/10/16,21,4,Lateral,No,9,No,Yes
37,divorced,Associate Degree,Male,10,> 20 kms,Internal Referrals,7,3/5/15,3/6/15,24,4,Lateral,Yes,13,No,Yes
40,married,Bachelor Degree,Male,13,15-20 kms,Company Website,7,3/30/16,3/31/16,68,4,Lateral,No,16,No,No
41,married,Bachelor Degree,Male,12,<15 kms,Consultants,3,7/4/15,8/25/15,24,7,Lateral,No,17,Yes,Yes
35,married,Bachelor Degree,Male,13,<15 kms,Social Media,3,11/24/15,12/19/15,27,4,Lateral,Yes,11,Yes,Yes
34,married,Associate Certification,Male,12,> 20 kms,Social Media,5,7/10/15,8/27/15,30,6,Lateral,Yes,10,No,Yes
26,married,Bachelor Degree,Male,12,> 20 kms,Company Website,3,5/11/15,5/20/15,28,2,Lateral,No,2,No,Yes
31,married,Associate Certification,Male,13,15-20 kms,Company Website,3,2/15/16,4/1/16,29,4,Lateral,No,7,Yes,Yes
32,married,Associate Certification,Male,10,> 20 kms,Internal Referrals,4,9/22/15,10/18/15,24,6,Lateral,Yes,8,Yes,Yes
36,married,Master Degree,Male,13,<15 kms,Company Website,3,3/21/15,4/2/15,48,8,Vertical,No,12,Yes,No
27,married,Associate Degree,Male,14,15-20 kms,Internal Referrals,4,3/20/16,4/5/16,20,5,Lateral,Yes,3,No,Yes
36,single,Master Degree,Male,10,<15 kms,Internal Referrals,7,2/11/15,2/25/15,29,4,Lateral,Yes,12,Yes,Yes
33,married,Associate Certification,Male,11,<15 kms,Job Portals,10,9/17/15,11/9/15,17,3,Lateral,No,5,No,Yes
37,single,Master Degree,Male,14,> 20 kms,Consultants,4,2/3/15,2/19/15,41,3,Vertical,Yes,13,Yes,No
29,married,Bachelor Degree,Male,12,> 20 kms,Job Portals,6,6/8/15,7/26/15,24,5,Lateral,No,5,Yes,Yes
25,divorced,Bachelor Degree,Male,10,15-20 kms,Internal Referrals,5,1/15/16,1/26/16,27,2,Lateral,No,1,No,Yes
28,divorced,Associate Degree,Male,15,15-20 kms,Job Portals,8,3/22/16,4/23/16,89,3,Lateral,No,4,No,No
31,single,Bachelor Degree,Male,10,15-20 kms,Job Portals,6,1/6/15,2/13/15,20,5,Lateral,No,7,Yes,Yes
37,married,Associate Degree,Male,15,<15 kms,Consultants,9,1/15/16,1/25/16,28,6,Vertical,Yes,13,No,No
40,married,Bachelor Degree,Male,14,15-20 kms,Social Media,5,1/21/16,2/15/16,69,5,Lateral,No,16,Yes,No
40,married,Master Degree,Male,13,> 20 kms,Consultants,3,12/24/15,1/10/16,27,5,Lateral,No,16,Yes,Yes
31,married,Associate Degree,Male,13,15-20 kms,Social Media,3,6/5/15,6/29/15,44,3,Vertical,No,7,No,No
41,married,Associate Degree,Male,12,<15 kms,Consultants,8,3/21/16,4/30/16,20,8,Lateral,Yes,17,Yes,Yes
38,married,Master Degree,Male,13,<15 kms,Internal Referrals,7,3/21/15,4/11/15,25,7,Lateral,No,14,Yes,Yes
37,single,Associate Degree,Male,11,15-20 kms,Job Portals,7,1/19/16,1/24/16,30,6,Vertical,No,13,No,No
25,married,Associate Degree,Male,12,> 20 kms,Social Media,4,9/24/15,11/17/15,30,1,Lateral,No,1,Yes,Yes
31,divorced,Associate Degree,Male,12,> 20 kms,Company Website,3,10/16/15,11/16/15,16,5,Lateral,No,7,Yes,Yes
25,married,Associate Certification,Male,14,<15 kms,Social Media,10,7/31/15,8/31/15,23,1,Lateral,No,1,Yes,Yes
32,married,Associate Degree,Male,12,<15 kms,Consultants,3,3/5/15,4/11/15,57,7,Vertical,Yes,8,Yes,No
45,single,Associate Certification,Male,13,<15 kms,Internal Referrals,8,5/7/15,5/20/15,27,8,Lateral,No,21,Yes,Yes
38,married,Associate Degree,Male,14,15-20 kms,Consultants,5,7/18/15,8/16/15,17,7,Lateral,Yes,14,No,Yes
31,married,Associate Degree,Male,10,15-20 kms,Job Portals,7,8/10/15,8/31/15,39,4,Vertical,No,7,Yes,No
34,married,Bachelor Degree,Male,13,<15 kms,Internal Referrals,4,7/5/15,8/3/15,27,8,Lateral,No,10,No,Yes
35,married,Associate Certification,Male,21,15-20 kms,Social Media,6,2/3/15,3/9/15,65,3,Lateral,No,11,No,No
28,married,Associate Certification,Male,21,> 20 kms,Company Website,3,3/27/15,5/1/15,76,5,Vertical,Yes,4,Yes,No
32,divorced,Associate Degree,Male,11,15-20 kms,Company Website,4,10/15/15,11/24/15,18,7,Lateral,No,8,No,Yes
44,married,Master Degree,Male,13,15-20 kms,Job Portals,7,2/15/16,2/22/16,31,7,Vertical,No,20,Yes,No
34,married,Associate Certification,Male,11,> 20 kms,Job Portals,4,3/11/15,4/24/15,22,3,Lateral,No,10,No,Yes
43,married,Master Degree,Male,14,<15 kms,Job Portals,7,5/22/15,6/23/15,29,8,Vertical,No,19,No,No
32,married,Bachelor Degree,Male,15,<15 kms,Job Portals,8,12/20/15,1/21/16,28,7,Lateral,No,8,Yes,No
45,married,Associate Degree,Male,12,> 20 kms,Company Website,5,3/12/16,4/5/16,87,4,Lateral,Yes,21,Yes,No
27,married,Associate Degree,Male,14,<15 kms,Social Media,3,3/31/15,5/7/15,30,3,Lateral,No,3,Yes,Yes
30,married,Associate Certification,Male,13,> 20 kms,Consultants,3,11/12/15,12/14/15,42,5,Lateral,Yes,6,No,No
37,married,Master Degree,Male,12,15-20 kms,Social Media,8,6/24/15,8/2/15,27,4,Lateral,No,13,Yes,Yes
32,married,Associate Degree,Male,11,15-20 kms,Consultants,3,6/14/15,6/20/15,34,5,Lateral,No,8,No,No
25,single,Bachelor Degree,Male,13,<15 kms,Social Media,9,4/21/16,6/5/16,21,2,Lateral,No,1,Yes,Yes
32,divorced,Associate Certification,Male,12,> 20 kms,Company Website,7,6/16/15,7/14/15,27,6,Lateral,No,8,No,Yes
26,married,Bachelor Degree,Male,11,15-20 kms,Social Media,6,4/23/15,5/24/15,22,1,Lateral,Yes,2,Yes,Yes
43,married,Master Degree,Male,15,> 20 kms,Job Portals,3,10/16/15,10/31/15,45,5,Vertical,Yes,19,No,No
46,married,Bachelor Degree,Male,13,> 20 kms,Internal Referrals,10,6/5/15,7/28/15,24,8,Lateral,No,22,Yes,Yes
34,married,Associate Certification,Male,12,<15 kms,Job Portals,3,2/2/16,2/12/16,25,8,Lateral,No,10,Yes,No
30,single,Associate Degree,Male,14,<15 kms,Job Portals,10,3/31/15,4/16/15,27,4,Lateral,No,6,Yes,Yes
43,married,Associate Degree,Male,10,<15 kms,Company Website,8,3/17/15,4/16/15,20,5,Lateral,Yes,19,Yes,Yes
40,single,Associate Certification,Male,15,<15 kms,Social Media,3,4/23/15,5/8/15,43,4,Lateral,Yes,16,No,No
44,married,Bachelor Degree,Male,13,> 20 kms,Company Website,6,5/12/15,6/8/15,28,4,Lateral,No,20,No,No
25,single,Associate Certification,Male,12,15-20 kms,Consultants,3,3/31/15,4/1/15,50,1,Lateral,Yes,1,Yes,No
27,single,Bachelor Degree,Male,25,<15 kms,Social Media,5,1/21/16,2/5/16,61,5,Vertical,Yes,6,No,No
30,divorced,Associate Certification,Male,14,> 20 kms,Internal Referrals,8,4/12/15,5/11/15,23,5,Lateral,No,6,No,Yes
36,single,Associate Certification,Male,11,<15 kms,Consultants,6,12/9/15,12/29/15,29,5,Lateral,Yes,12,Yes,Yes
28,married,Associate Certification,Male,10,> 20 kms,Company Website,5,5/19/16,6/9/16,54,5,Vertical,No,4,No,No
39,married,Associate Certification,Male,13,> 20 kms,Internal Referrals,3,12/17/15,1/3/16,19,3,Lateral,No,12,Yes,Yes
42,married,Master Degree,Male,20,<15 kms,Job Portals,3,9/10/15,10/9/15,36,6,Lateral,Yes,18,Yes,No
45,divorced,Bachelor Degree,Male,14,<15 kms,Company Website,4,2/22/16,2/29/16,69,4,Lateral,No,21,No,No
26,married,Associate Degree,Male,12,15-20 kms,Job Portals,5,10/19/15,12/14/15,15,2,Lateral,No,2,No,Yes
27,married,Associate Certification,Male,25,> 20 kms,Job Portals,5,12/19/15,1/22/16,28,4,Lateral,Yes,3,Yes,No
27,divorced,Associate Degree,Male,13,15-20 kms,Consultants,3,3/23/16,4/30/16,24,5,Lateral,No,3,Yes,Yes
34,married,Associate Degree,Male,10,> 20 kms,Company Website,8,10/12/15,12/9/15,26,5,Lateral,Yes,10,Yes,Yes
34,married,Bachelor Degree,Male,12,15-20 kms,Consultants,4,3/29/15,4/24/15,48,3,Vertical,Yes,10,No,No
33,married,Associate Certification,Male,10,> 20 kms,Social Media,7,5/18/15,6/27/15,66,6,Lateral,No,9,No,No
25,married,Associate Degree,Male,10,15-20 kms,Company Website,3,5/22/15,6/2/15,18,1,Lateral,Yes,1,No,Yes
44,married,Associate Degree,Male,15,<15 kms,Social Media,8,12/25/15,1/20/16,42,6,Lateral,Yes,20,Yes,No
43,married,Associate Degree,Male,13,> 20 kms,Social Media,3,12/20/15,1/22/16,16,5,Lateral,No,19,No,Yes
25,married,Associate Degree,Male,20,> 20 kms,Job Portals,3,1/21/16,2/20/16,69,1,Vertical,Yes,1,No,No
38,married,Associate Degree,Male,10,15-20 kms,Internal Referrals,3,1/27/16,2/10/16,78,4,Vertical,Yes,14,Yes,No
25,married,Associate Certification,Male,13,> 20 kms,Company Website,4,10/19/15,11/12/15,20,1,Lateral,Yes,1,Yes,Yes
25,divorced,Bachelor Degree,Male,15,15-20 kms,Social Media,7,2/1/16,2/7/16,87,1,Vertical,Yes,1,Yes,No
37,married,Associate Degree,Male,15,> 20 kms,Company Website,10,5/8/16,5/16/16,56,3,Vertical,No,13,No,No
40,married,Associate Degree,Male,10,<15 kms,Social Media,8,4/5/15,4/16/15,59,4,Lateral,Yes,16,Yes,No
31,married,Associate Certification,Male,12,15-20 kms,Internal Referrals,10,10/19/15,10/23/15,62,4,Lateral,No,7,No,No
39,married,Associate Certification,Male,12,15-20 kms,Internal Referrals,5,7/31/15,9/14/15,21,7,Vertical,Yes,15,No,Yes
35,married,Bachelor Degree,Male,10,<15 kms,Social Media,9,10/27/15,11/22/15,17,3,Lateral,No,7,Yes,Yes
25,married,Associate Certification,Male,25,> 20 kms,Consultants,6,6/8/16,7/13/16,64,1,Lateral,No,1,No,No
31,married,Associate Degree,Male,10,<15 kms,Internal Referrals,3,2/27/16,3/21/16,24,4,Lateral,Yes,7,No,Yes
40,married,Associate Degree,Male,18,15-20 kms,Consultants,8,6/16/15,7/26/15,26,8,Vertical,Yes,16,No,No
27,single,Associate Degree,Male,12,15-20 kms,Company Website,10,11/13/15,11/17/15,53,4,Lateral,No,3,Yes,No
46,married,Master Degree,Male,14,15-20 kms,Social Media,8,3/23/16,3/25/16,44,8,Lateral,Yes,22,No,No
31,married,Associate Degree,Male,23,15-20 kms,Consultants,4,3/14/16,3/23/16,38,3,Vertical,Yes,7,Yes,No
41,married,Master Degree,Male,13,<15 kms,Job Portals,10,4/23/15,5/11/15,31,3,Lateral,No,17,Yes,No
28,divorced,Associate Degree,Male,13,15-20 kms,Social Media,3,9/24/15,10/28/15,45,3,Vertical,Yes,4,Yes,No
29,married,Bachelor Degree,Male,24,15-20 kms,Company Website,9,1/19/16,2/3/16,94,5,Vertical,No,5,Yes,No
38,married,Bachelor Degree,Male,12,> 20 kms,Company Website,9,1/27/16,3/2/16,23,3,Lateral,No,11,Yes,Yes
42,married,Associate Certification,Male,12,> 20 kms,Job Portals,3,3/2/16,3/7/16,56,7,Vertical,Yes,18,No,No
45,married,Associate Certification,Male,11,<15 kms,Consultants,8,10/25/15,10/26/15,19,7,Lateral,Yes,21,No,Yes
27,married,Associate Degree,Male,10,<15 kms,Internal Referrals,3,3/23/16,5/11/16,22,5,Vertical,Yes,3,No,Yes
38,single,Master Degree,Male,13,<15 kms,Consultants,10,3/21/15,4/18/15,30,3,Vertical,No,14,Yes,No
30,single,Associate Certification,Male,11,<15 kms,Social Media,9,10/16/15,10/29/15,18,4,Lateral,No,6,Yes,Yes
41,married,Associate Degree,Male,15,<15 kms,Social Media,4,6/16/15,7/23/15,59,6,Lateral,No,17,Yes,No
34,married,Bachelor Degree,Male,11,15-20 kms,Company Website,10,2/20/16,4/8/16,22,3,Lateral,No,6,Yes,Yes
39,married,Associate Certification,Male,19,15-20 kms,Company Website,3,12/20/15,1/10/16,55,8,Lateral,Yes,15,Yes,No
37,married,Associate Degree,Male,10,<15 kms,Company Website,3,6/6/15,7/25/15,28,8,Lateral,Yes,13,No,Yes
42,married,Bachelor Degree,Male,14,15-20 kms,Company Website,10,2/11/15,2/24/15,21,6,Vertical,No,18,Yes,Yes
43,married,Associate Degree,Male,13,15-20 kms,Social Media,8,9/13/15,10/13/15,20,6,Vertical,Yes,19,Yes,Yes
43,married,Master Degree,Male,14,<15 kms,Job Portals,9,4/15/15,5/19/15,90,7,Vertical,No,19,No,No
26,married,Bachelor Degree,Male,10,15-20 kms,Consultants,3,7/16/15,8/21/15,55,1,Lateral,No,2,Yes,No
44,married,Associate Degree,Male,11,> 20 kms,Job Portals,8,7/11/15,8/1/15,72,5,Vertical,Yes,20,Yes,No
45,married,Associate Certification,Male,14,15-20 kms,Social Media,8,3/6/15,4/24/15,20,7,Lateral,No,21,No,Yes
38,married,Associate Degree,Male,18,15-20 kms,Internal Referrals,10,9/13/15,9/26/15,59,6,Lateral,Yes,14,Yes,No
44,married,Master Degree,Male,13,15-20 kms,Social Media,10,6/24/15,8/4/15,29,7,Lateral,No,20,No,Yes
27,married,Associate Degree,Male,14,> 20 kms,Consultants,6,3/31/15,4/2/15,94,3,Vertical,Yes,3,No,No
27,married,Associate Certification,Male,12,> 20 kms,Company Website,3,5/18/16,5/24/16,30,3,Lateral,No,3,Yes,Yes
41,single,Master Degree,Male,12,<15 kms,Consultants,9,2/13/16,3/16/16,25,7,Lateral,No,17,Yes,Yes
42,married,Associate Certification,Male,13,<15 kms,Consultants,6,5/27/15,6/14/15,33,4,Vertical,No,18,Yes,No
31,married,Associate Degree,Male,12,> 20 kms,Company Website,3,8/25/15,10/1/15,27,3,Lateral,No,7,Yes,Yes
46,married,Associate Certification,Male,13,15-20 kms,Social Media,3,10/20/15,11/24/15,16,6,Vertical,No,22,Yes,Yes
45,single,Associate Certification,Male,15,15-20 kms,Social Media,3,3/26/16,4/14/16,79,3,Lateral,No,21,Yes,No
36,married,Bachelor Degree,Male,20,15-20 kms,Social Media,5,7/13/15,7/18/15,86,4,Lateral,Yes,12,Yes,No
45,married,Master Degree,Male,12,<15 kms,Company Website,3,3/31/15,4/8/15,27,6,Lateral,Yes,21,No,Yes
38,married,Master Degree,Male,27,15-20 kms,Internal Referrals,7,1/20/16,2/6/16,76,4,Lateral,No,14,No,No
38,married,Associate Degree,Male,10,<15 kms,Company Website,3,12/17/15,12/27/15,19,5,Lateral,Yes,14,No,Yes
27,divorced,Associate Certification,Male,13,15-20 kms,Social Media,3,11/24/15,12/23/15,27,3,Vertical,Yes,3,No,Yes
27,divorced,Associate Certification,Male,25,15-20 kms,Consultants,5,4/30/15,5/23/15,35,3,Lateral,Yes,3,Yes,No
35,married,Associate Degree,Male,12,15-20 kms,Company Website,3,6/19/15,6/24/15,23,6,Lateral,Yes,11,Yes,Yes
26,married,Bachelor Degree,Male,14,> 20 kms,Consultants,7,4/25/16,6/7/16,22,2,Vertical,Yes,2,Yes,Yes
39,married,Master Degree,Male,10,<15 kms,Consultants,4,6/24/15,7/23/15,23,4,Lateral,Yes,9,No,Yes
27,married,Associate Certification,Male,12,<15 kms,Consultants,3,7/18/15,8/4/15,27,5,Lateral,No,3,Yes,Yes
36,married,Associate Certification,Male,18,<15 kms,Consultants,5,10/16/15,11/19/15,42,3,Vertical,No,12,No,No
38,married,Associate Certification,Male,13,<15 kms,Company Website,7,9/13/15,11/12/15,18,4,Vertical,No,14,No,Yes
25,married,Bachelor Degree,Male,10,15-20 kms,Consultants,3,10/12/15,11/2/15,15,2,Vertical,Yes,1,Yes,Yes
34,single,Associate Degree,Male,10,15-20 kms,Internal Referrals,5,10/20/15,11/5/15,69,3,Vertical,Yes,10,Yes,No
34,single,Associate Degree,Male,12,<15 kms,Company Website,8,4/27/16,6/20/16,27,4,Vertical,No,10,No,Yes
29,married,Bachelor Degree,Male,11,15-20 kms,Company Website,6,1/15/16,2/1/16,18,5,Vertical,No,5,Yes,Yes
39,married,Associate Degree,Male,30,> 20 kms,Company Website,4,9/12/15,10/18/15,91,4,Lateral,No,15,Yes,No
34,married,Bachelor Degree,Male,24,15-20 kms,Internal Referrals,4,1/5/15,1/10/15,68,6,Vertical,Yes,10,No,No
35,married,Master Degree,Male,13,> 20 kms,Consultants,9,6/16/15,8/7/15,24,4,Lateral,No,11,Yes,Yes
37,single,Associate Certification,Male,10,> 20 kms,Job Portals,3,12/20/15,2/2/16,30,6,Lateral,No,13,Yes,Yes
40,married,Associate Certification,Male,10,15-20 kms,Internal Referrals,5,4/29/16,6/12/16,27,4,Lateral,Yes,10,Yes,Yes
28,married,Associate Degree,Male,30,15-20 kms,Social Media,3,12/19/15,1/9/16,81,4,Vertical,No,4,No,No
32,married,Associate Certification,Male,22,<15 kms,Internal Referrals,3,6/24/15,7/25/15,66,7,Vertical,Yes,8,Yes,No
29,single,Associate Degree,Male,10,> 20 kms,Job Portals,9,4/18/15,5/13/15,29,3,Vertical,Yes,5,Yes,Yes
35,married,Associate Degree,Male,12,<15 kms,Company Website,8,2/15/16,4/7/16,18,5,Vertical,Yes,11,No,Yes
34,married,Associate Degree,Male,10,15-20 kms,Consultants,3,6/13/15,6/19/15,21,3,Lateral,No,6,Yes,Yes
33,married,Associate Certification,Male,10,15-20 kms,Social Media,8,3/29/15,5/2/15,17,3,Lateral,Yes,5,No,Yes
44,married,Associate Certification,Male,15,<15 kms,Job Portals,9,2/23/16,3/22/16,80,3,Lateral,No,20,Yes,No
37,married,Associate Degree,Male,13,<15 kms,Social Media,4,10/16/15,10/29/15,26,4,Lateral,No,13,No,Yes
28,single,Associate Certification,Male,12,> 20 kms,Internal Referrals,3,2/27/16,4/15/16,26,5,Lateral,Yes,4,Yes,Yes
35,single,Bachelor Degree,Male,13,<15 kms,Social Media,3,2/20/16,2/23/16,22,3,Vertical,Yes,11,Yes,Yes
29,married,Associate Degree,Male,12,<15 kms,Company Website,7,5/11/15,5/21/15,22,5,Lateral,Yes,5,No,Yes
29,married,Associate Degree,Male,10,15-20 kms,Company Website,3,4/2/16,5/3/16,51,4,Lateral,Yes,5,No,No
44,married,Master Degree,Male,10,<15 kms,Company Website,9,3/5/15,3/11/15,30,8,Vertical,Yes,20,Yes,Yes
28,married,Associate Certification,Male,10,> 20 kms,Company Website,10,7/18/15,8/23/15,16,4,Lateral,No,4,No,Yes
41,divorced,Master Degree,Male,11,> 20 kms,Consultants,4,8/16/15,10/9/15,15,4,Vertical,Yes,17,Yes,Yes
33,divorced,Associate Certification,Male,17,<15 kms,Internal Referrals,5,2/22/16,3/6/16,78,8,Vertical,Yes,9,Yes,No
26,married,Associate Degree,Male,22,> 20 kms,Social Media,3,2/1/16,3/12/16,27,1,Vertical,Yes,2,Yes,No
41,married,Bachelor Degree,Male,12,<15 kms,Internal Referrals,5,8/17/15,9/5/15,29,8,Vertical,Yes,17,Yes,Yes
33,married,Associate Certification,Male,19,15-20 kms,Company Website,3,10/15/15,10/22/15,28,7,Lateral,No,9,No,No
39,married,Associate Degree,Male,30,<15 kms,Job Portals,6,7/18/15,8/20/15,70,5,Lateral,Yes,15,No,No
40,married,Associate Degree,Male,13,> 20 kms,Company Website,9,12/25/15,1/9/16,28,3,Lateral,Yes,13,No,Yes
31,married,Associate Degree,Male,22,15-20 kms,Social Media,9,8/15/15,9/6/15,25,5,Vertical,No,7,Yes,No
31,married,Associate Degree,Male,29,> 20 kms,Consultants,5,3/31/15,4/3/15,52,5,Vertical,No,7,Yes,No
34,married,Bachelor Degree,Male,24,> 20 kms,Social Media,3,7/11/15,7/18/15,88,5,Lateral,Yes,10,No,No
33,single,Associate Certification,Male,26,<15 kms,Social Media,3,11/6/15,11/12/15,61,6,Vertical,Yes,9,No,No
38,married,Master Degree,Male,13,15-20 kms,Job Portals,8,5/9/16,7/7/16,18,8,Vertical,No,14,Yes,Yes
40,married,Bachelor Degree,Male,14,15-20 kms,Job Portals,8,6/24/15,7/20/15,58,8,Lateral,No,16,No,No
45,single,Associate Certification,Male,25,15-20 kms,Company Website,6,10/20/15,11/6/15,52,8,Vertical,Yes,21,Yes,No
34,married,Bachelor Degree,Male,12,15-20 kms,Internal Referrals,4,5/22/15,6/30/15,26,8,Lateral,No,10,Yes,Yes
44,married,Master Degree,Male,24,<15 kms,Company Website,5,3/14/15,3/30/15,32,6,Lateral,Yes,20,No,No
28,married,Associate Degree,Male,29,15-20 kms,Consultants,3,8/16/15,9/1/15,28,4,Vertical,No,4,No,No
43,single,Associate Degree,Male,29,15-20 kms,Consultants,3,10/29/15,12/3/15,25,5,Vertical,No,19,No,No
35,married,Bachelor Degree,Male,30,> 20 kms,Social Media,8,3/14/15,4/11/15,66,3,Vertical,Yes,11,Yes,No
42,married,Master Degree,Male,11,<15 kms,Job Portals,6,2/17/16,3/16/16,25,3,Vertical,No,18,No,No
40,married,Associate Degree,Male,12,> 20 kms,Company Website,4,3/14/15,5/1/15,25,5,Vertical,No,16,No,Yes
36,single,Bachelor Degree,Male,13,> 20 kms,Internal Referrals,5,4/15/15,4/16/15,27,8,Vertical,No,12,Yes,Yes
